age,workclass,education,marital.status,race,sex,hours.per.week,income
82,Private,HS-grad,Widowed,White,Female,18,0
54,Private,7th-8th,Divorced,White,Female,40,0
41,Private,Some-college,Separated,White,Female,40,0
34,Private,HS-grad,Divorced,White,Female,45,0
38,Private,10th,Separated,White,Male,40,0
74,State-gov,Doctorate,Never-married,White,Female,20,1
68,Federal-gov,HS-grad,Divorced,White,Female,40,0
45,Private,Doctorate,Divorced,Black,Female,35,1
38,Self-emp-not-inc,Prof-school,Never-married,White,Male,45,1
52,Private,Bachelors,Widowed,White,Female,20,1
32,Private,Masters,Separated,White,Male,55,1
46,Private,Prof-school,Divorced,White,Male,40,1
45,Private,11th,Divorced,White,Male,76,1
57,Private,Masters,Divorced,White,Male,50,1
34,Private,Bachelors,Separated,White,Male,50,1
37,Private,Bachelors,Never-married,White,Male,40,1
29,Private,11th,Separated,White,Female,42,0
61,Private,HS-grad,Divorced,White,Female,25,0
51,Private,Some-college,Married,White,Male,40,0
21,Private,Assoc,Married-civ-spouse,White,Male,40,0
33,Private,1st-4th,Married,White,Male,32,0
49,Private,5th-6th,Married,White,Male,40,0
37,Self-emp-inc,10th,Never-married,White,Male,50,1
38,Private,10th,Never-married,White,Male,90,1
23,Private,Some-college,Separated,White,Male,40,1
59,Self-emp-inc,10th,Widowed,White,Female,50,1
52,Private,Prof-school,Divorced,White,Male,60,1
51,Private,Bachelors,Divorced,White,Male,50,1
60,Self-emp-not-inc,HS-grad,Never-married,Black,Male,50,1
63,Federal-gov,Doctorate,Divorced,White,Female,60,1
53,Private,HS-grad,Never-married,White,Male,48,1
51,Private,Prof-school,Never-married,White,Female,50,1
37,Self-emp-not-inc,Doctorate,Never-married,White,Female,60,1
54,Private,Masters,Divorced,White,Female,40,1
44,Private,Bachelors,Divorced,White,Male,50,1
43,Private,Masters,Divorced,White,Female,40,1
51,Private,Some-college,Divorced,White,Female,40,1
43,Private,Masters,Divorced,White,Female,40,1
48,Private,Bachelors,Married,White,Female,70,1
71,Private,HS-grad,Married,White,Male,52,0
73,Self-emp-not-inc,HS-grad,Married,Asian-Pac-Islander,Male,40,0
40,Self-emp-not-inc,Prof-school,Never-married,White,Male,45,1
50,Private,HS-grad,Widowed,White,Female,72,1
51,State-gov,Assoc,Divorced,White,Male,39,1
42,Private,Some-college,Never-married,White,Female,40,1
39,Private,Masters,Never-married,White,Male,45,1
32,Private,Bachelors,Never-married,White,Male,50,1
