age,workclass,education,marital.status,hours.per.week,sex,race,income
18,Private,Some-college,Never-married,21,Female,Black,0
53,Federal-gov,HS-grad,Never-married,40,Male,White,0
41,Private,HS-grad,Never-married,40,Male,White,0
18,Self-emp-not-inc,Some-college,Never-married,2,Female,White,0
21,Federal-gov,Some-college,Never-married,50,Male,White,0
37,Federal-gov,HS-grad,Separated,35,Male,Black,0
19,Private,Some-college,Never-married,10,Female,White,0
51,Private,Assoc,Divorced,60,Female,White,0
18,Private,Some-college,Never-married,12,Female,White,0
18,Self-emp-inc,Some-college,Never-married,8,Female,White,0
34,Private,HS-grad,Never-married,40,Male,Black,0
20,Private,Some-college,Never-married,30,Male,White,0
37,Private,Some-college,Divorced,35,Female,White,0
34,Private,Some-college,Never-married,40,Female,Black,0
18,Private,Some-college,Never-married,45,Male,White,0
25,Private,Bachelors,Never-married,30,Male,White,0
42,Private,HS-grad,Separated,28,Female,White,0
39,Private,9th,Divorced,20,Male,White,0
31,Private,HS-grad,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,60,Male,White,0
28,Private,Some-college,Never-married,40,Male,Black,0
51,Private,Assoc,Divorced,60,Female,White,0
36,Federal-gov,10th,Married,38,Male,White,0
18,Private,HS-grad,Never-married,40,Female,Black,0
21,Federal-gov,Some-college,Never-married,75,Male,Black,0
47,Local-gov,Some-college,Divorced,35,Male,White,0
25,Private,HS-grad,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,10,Female,White,0
20,Federal-gov,Some-college,Never-married,10,Female,White,0
26,Private,10th,Never-married,40,Male,Black,0
21,State-gov,Some-college,Never-married,40,Female,White,0
19,Private,Some-college,Never-married,20,Female,White,0
20,Private,Some-college,Never-married,25,Female,Black,0
36,Private,HS-grad,Never-married,40,Female,White,0
19,Private,10th,Never-married,27,Male,White,0
21,Federal-gov,HS-grad,Never-married,75,Female,White,0
24,Private,HS-grad,Never-married,36,Male,White,0
41,Private,HS-grad,Never-married,40,Male,Black,0
56,Private,HS-grad,Widowed,28,Female,White,0
19,Private,Some-college,Never-married,18,Female,White,0
48,Private,11th,Divorced,40,Male,White,0
18,Private,Some-college,Never-married,30,Female,White,0
18,Private,Some-college,Never-married,34,Female,Black,0
38,Private,Some-college,Married,40,Male,Black,0
19,Private,Some-college,Never-married,17,Male,White,0
21,Private,HS-grad,Never-married,30,Female,Black,0
28,Private,HS-grad,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,40,Male,Other,0
18,Private,Some-college,Never-married,40,Female,White,0
29,Local-gov,HS-grad,Divorced,10,Male,White,0
19,Self-emp-not-inc,Some-college,Never-married,2,Male,White,0
