age,workclass,education,marital.status,occupation,race,sex,hours.per.week,income
82,Private,HS-grad,Widowed,Exec-managerial,White,Female,18,0
54,Private,7th-8th,Divorced,Machine-op-inspct,White,Female,40,0
41,Private,Some-college,Separated,Prof-specialty,White,Female,40,0
34,Private,HS-grad,Divorced,Other-service,White,Female,45,0
38,Private,10th,Separated,Adm-clerical,White,Male,40,0
74,State-gov,Doctorate,Never-married,Prof-specialty,White,Female,20,1
68,Federal-gov,HS-grad,Divorced,Prof-specialty,White,Female,40,0
45,Private,Doctorate,Divorced,Prof-specialty,Black,Female,35,1
38,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,White,Male,45,1
52,Private,Bachelors,Widowed,Other-service,White,Female,20,1
32,Private,Masters,Separated,Exec-managerial,White,Male,55,1
46,Private,Prof-school,Divorced,Prof-specialty,White,Male,40,1
45,Private,11th,Divorced,Transport-moving,White,Male,76,1
57,Private,Masters,Divorced,Exec-managerial,White,Male,50,1
34,Private,Bachelors,Separated,Sales,White,Male,50,1
37,Private,Bachelors,Never-married,Exec-managerial,White,Male,40,1
29,Private,11th,Separated,Sales,White,Female,42,0
61,Private,HS-grad,Divorced,Sales,White,Female,25,0
51,Private,Some-college,Married,Transport-moving,White,Male,40,0
21,Private,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,0
33,Private,1st-4th,Married,Craft-repair,White,Male,32,0
49,Private,5th-6th,Married,Other-service,White,Male,40,0
37,Self-emp-inc,10th,Never-married,Transport-moving,White,Male,50,1
38,Private,10th,Never-married,Prof-specialty,White,Male,90,1
23,Private,Some-college,Separated,Other-service,White,Male,40,1
59,Self-emp-inc,10th,Widowed,Exec-managerial,White,Female,50,1
52,Private,Prof-school,Divorced,Exec-managerial,White,Male,60,1
51,Private,Bachelors,Divorced,Exec-managerial,White,Male,50,1
60,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Black,Male,50,1
63,Federal-gov,Doctorate,Divorced,Exec-managerial,White,Female,60,1
53,Private,HS-grad,Never-married,Sales,White,Male,48,1
51,Private,Prof-school,Never-married,Prof-specialty,White,Female,50,1
37,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,White,Female,60,1
54,Private,Masters,Divorced,Prof-specialty,White,Female,40,1
44,Private,Bachelors,Divorced,Exec-managerial,White,Male,50,1
43,Private,Masters,Divorced,Exec-managerial,White,Female,40,1
51,Private,Some-college,Divorced,Adm-clerical,White,Female,40,1
43,Private,Masters,Divorced,Prof-specialty,White,Female,40,1
48,Private,Bachelors,Married,Sales,White,Female,70,1
71,Private,HS-grad,Married,Sales,White,Male,52,0
73,Self-emp-not-inc,HS-grad,Married,Farming-fishing,Asian-Pac-Islander,Male,40,0
40,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,White,Male,45,1
50,Private,HS-grad,Widowed,Sales,White,Female,72,1
51,State-gov,Assoc,Divorced,Tech-support,White,Male,39,1
42,Private,Some-college,Never-married,Exec-managerial,White,Female,40,1
39,Private,Masters,Never-married,Sales,White,Male,45,1
32,Private,Bachelors,Never-married,Exec-managerial,White,Male,50,1
53,Private,Some-college,Separated,Craft-repair,White,Male,45,1
40,Local-gov,Some-college,Never-married,Protective-serv,White,Male,40,1
38,Private,Bachelors,Never-married,Sales,White,Female,45,1
33,Private,Assoc,Separated,Craft-repair,White,Male,42,1
43,Private,Assoc,Divorced,Craft-repair,White,Male,70,1
50,Self-emp-inc,11th,Never-married,Exec-managerial,White,Male,40,1
44,Private,Some-college,Married,Adm-clerical,White,Female,6,1
51,Self-emp-not-inc,Bachelors,Married,Sales,Asian-Pac-Islander,Male,40,1
41,Private,Prof-school,Married,Prof-specialty,White,Male,40,1
37,Private,Masters,Married,Exec-managerial,White,Male,60,1
55,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,35,1
39,Self-emp-inc,Bachelors,Married,Sales,White,Male,60,1
42,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,60,1
49,Private,Bachelors,Married,Sales,White,Male,55,1
47,Self-emp-not-inc,HS-grad,Married,Exec-managerial,White,Male,50,1
41,Local-gov,Prof-school,Married,Prof-specialty,White,Male,45,1
55,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,50,1
39,Private,Masters,Married,Exec-managerial,White,Female,65,1
42,Private,Bachelors,Married,Exec-managerial,White,Male,60,1
46,Private,Masters,Married,Sales,White,Male,65,1
40,Private,Masters,Married,Exec-managerial,White,Male,45,1
32,Private,Bachelors,Married,Prof-specialty,White,Male,48,1
41,Self-emp-inc,Some-college,Married,Exec-managerial,White,Male,55,1
60,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,80,1
31,Private,Masters,Married,Exec-managerial,White,Male,70,1
58,Self-emp-not-inc,Some-college,Married,Farming-fishing,White,Male,40,1
37,Self-emp-inc,Bachelors,Married,Sales,White,Male,50,1
44,Self-emp-not-inc,Bachelors,Married,Exec-managerial,White,Male,50,1
55,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,50,1
44,Self-emp-inc,Masters,Married,Prof-specialty,White,Male,55,1
39,Private,Prof-school,Married,Prof-specialty,Asian-Pac-Islander,Male,67,1
46,Self-emp-not-inc,Bachelors,Married,Sales,White,Male,40,1
39,Private,Some-college,Married,Farming-fishing,White,Male,99,1
62,Self-emp-inc,Bachelors,Married,Farming-fishing,White,Male,60,1
31,Self-emp-not-inc,HS-grad,Married,Other-service,White,Female,40,1
46,Private,Bachelors,Married,Adm-clerical,Asian-Pac-Islander,Male,35,1
46,Self-emp-not-inc,Prof-school,Married,Prof-specialty,White,Male,80,1
39,Self-emp-inc,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,1
39,Private,Prof-school,Married,Sales,White,Male,99,1
59,Private,Doctorate,Married,Prof-specialty,White,Male,45,1
50,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,60,1
46,Private,Doctorate,Married,Prof-specialty,White,Male,55,1
53,Self-emp-not-inc,Bachelors,Married,Exec-managerial,White,Male,40,1
50,Self-emp-not-inc,Prof-school,Married,Prof-specialty,White,Male,30,1
41,Self-emp-inc,Prof-school,Married,Exec-managerial,White,Female,55,1
36,Private,Bachelors,Married,Sales,White,Male,45,1
38,Private,Prof-school,Married,Prof-specialty,White,Male,90,1
54,Private,Some-college,Married,Sales,White,Male,50,1
50,Private,Bachelors,Married,Exec-managerial,White,Female,20,1
47,Private,Bachelors,Married,Exec-managerial,White,Male,60,1
47,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,45,1
67,Private,Bachelors,Widowed,Exec-managerial,White,Male,40,1
67,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,75,1
72,Self-emp-not-inc,Doctorate,Married,Prof-specialty,White,Male,25,1
46,Self-emp-inc,Masters,Married,Exec-managerial,White,Male,50,1
78,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,40,1
71,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,60,1
83,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,55,1
68,Private,Masters,Married,Exec-managerial,White,Male,40,1
26,Private,Assoc,Married-civ-spouse,Adm-clerical,White,Male,45,0
68,State-gov,Doctorate,Married,Prof-specialty,White,Male,60,1
49,Self-emp-inc,HS-grad,Married,Adm-clerical,White,Female,40,1
36,Private,HS-grad,Married,Prof-specialty,White,Male,60,0
70,Self-emp-not-inc,Bachelors,Married,Craft-repair,White,Male,12,1
27,Private,Some-college,Married,Adm-clerical,Black,Female,20,0
35,Local-gov,Some-college,Married,Exec-managerial,White,Male,40,0
23,Private,HS-grad,Married,Sales,White,Male,40,0
81,Private,HS-grad,Married,Exec-managerial,White,Male,26,1
66,Self-emp-not-inc,Doctorate,Married,Sales,White,Male,25,1
71,Private,HS-grad,Married,Exec-managerial,White,Male,45,1
68,Private,Some-college,Married,Sales,White,Male,55,1
52,Private,HS-grad,Married,Sales,Black,Male,40,0
40,Self-emp-inc,Assoc,Married-civ-spouse,Craft-repair,White,Male,50,0
