age,workclass,education,marital.status,occupation,race,sex,capital.gain,capital.loss,hours.per.week,income
82,Private,HS-grad,Widowed,Exec-managerial,White,Female,0,4356,18,0
54,Private,7th-8th,Divorced,Machine-op-inspct,White,Female,0,3900,40,0
41,Private,Some-college,Separated,Prof-specialty,White,Female,0,3900,40,0
34,Private,HS-grad,Divorced,Other-service,White,Female,0,3770,45,0
38,Private,10th,Separated,Adm-clerical,White,Male,0,3770,40,0
74,State-gov,Doctorate,Never-married,Prof-specialty,White,Female,0,3683,20,1
68,Federal-gov,HS-grad,Divorced,Prof-specialty,White,Female,0,3683,40,0
45,Private,Doctorate,Divorced,Prof-specialty,Black,Female,0,3004,35,1
38,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,White,Male,0,2824,45,1
52,Private,Bachelors,Widowed,Other-service,White,Female,0,2824,20,1
32,Private,Masters,Separated,Exec-managerial,White,Male,0,2824,55,1
46,Private,Prof-school,Divorced,Prof-specialty,White,Male,0,2824,40,1
45,Private,11th,Divorced,Transport-moving,White,Male,0,2824,76,1
57,Private,Masters,Divorced,Exec-managerial,White,Male,0,2824,50,1
34,Private,Bachelors,Separated,Sales,White,Male,0,2824,50,1
37,Private,Bachelors,Never-married,Exec-managerial,White,Male,0,2824,40,1
29,Private,11th,Separated,Sales,White,Female,0,2754,42,0
61,Private,HS-grad,Divorced,Sales,White,Female,0,2754,25,0
51,Private,Some-college,Married,Transport-moving,White,Male,0,2603,40,0
21,Private,Assoc,Married-civ-spouse,Craft-repair,White,Male,0,2603,40,0
33,Private,1st-4th,Married,Craft-repair,White,Male,0,2603,32,0
49,Private,5th-6th,Married,Other-service,White,Male,0,2603,40,0
37,Self-emp-inc,10th,Never-married,Transport-moving,White,Male,0,2559,50,1
38,Private,10th,Never-married,Prof-specialty,White,Male,0,2559,90,1
23,Private,Some-college,Separated,Other-service,White,Male,0,2559,40,1
59,Self-emp-inc,10th,Widowed,Exec-managerial,White,Female,0,2559,50,1
52,Private,Prof-school,Divorced,Exec-managerial,White,Male,0,2559,60,1
51,Private,Bachelors,Divorced,Exec-managerial,White,Male,0,2559,50,1
60,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Black,Male,0,2559,50,1
63,Federal-gov,Doctorate,Divorced,Exec-managerial,White,Female,0,2559,60,1
53,Private,HS-grad,Never-married,Sales,White,Male,0,2559,48,1
51,Private,Prof-school,Never-married,Prof-specialty,White,Female,0,2559,50,1
37,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,White,Female,0,2559,60,1
54,Private,Masters,Divorced,Prof-specialty,White,Female,0,2559,40,1
44,Private,Bachelors,Divorced,Exec-managerial,White,Male,0,2547,50,1
43,Private,Masters,Divorced,Exec-managerial,White,Female,0,2547,40,1
51,Private,Some-college,Divorced,Adm-clerical,White,Female,0,2547,40,1
43,Private,Masters,Divorced,Prof-specialty,White,Female,0,2547,40,1
48,Private,Bachelors,Married,Sales,White,Female,0,2472,70,1
71,Private,HS-grad,Married,Sales,White,Male,0,2467,52,0
73,Self-emp-not-inc,HS-grad,Married,Farming-fishing,Asian-Pac-Islander,Male,0,2457,40,0
40,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,White,Male,0,2444,45,1
